"","Year","Rank","Country.code","Country","Region.Code","Region","Overall","Coverage","Openness"
"148","2017",148,"IRQ","Iraq","ASW","Western Asia",26.2,27.9,24.6
"149","2017",149,"DJI","Djibouti","AFE","Eastern Africa",26.1,22.7,29.3
"150","2017",150,"TLS","Timor-Leste","ASE","South-Eastern Asia",25.8,29.7,22.2
"151","2017",151,"KIR","Kiribati","OPI","Pacific Islands",24.9,21.8,27.3
"152","2017",152,"KHM","Cambodia","ASE","South-Eastern Asia",24.8,20.6,28.7
"153","2017",153,"TGO","Togo","AFW","Western Africa",24.4,21.4,27.1
"154","2017",154,"COD","Congo, Dem. Rep.","AFM","Middle Africa",23.5,22.8,24.1
"155","2017",155,"MHL","Marshall Islands","OPI","Pacific Islands",23.4,20.8,25.4
"156","2017",156,"ZMB","Zambia","AFE","Eastern Africa",23.2,26.5,20.2
"157","2017",157,"CIV","Cote d'Ivoire","AFW","Western Africa",23.1,18.4,27.4
"158","2017",158,"LAO","Lao PDR","ASE","South-Eastern Asia",22.7,22.6,22.7
"159","2017",159,"GUY","Guyana","AMZ","South America",22.6,23.4,21.9
"160","2017",160,"FSM","Micronesia, Fed. Sts.","OPI","Pacific Islands",22.2,22,22.3
"161","2017",161,"AFG","Afghanistan","ASZ","Southern Asia",22.1,22.1,22.1
"162","2017",162,"STP","Sao Tome and Principe","AFM","Middle Africa",21.5,16.8,25.1
"163","2017",163,"AGO","Angola","AFM","Middle Africa",20.8,18.2,23.2
"164","2017",164,"SSD","South Sudan","AFE","Eastern Africa",20.3,14.9,25.3
"165","2017",165,"CPV","Cabo Verde","AFW","Western Africa",20,18.9,21.1
"166","2017",166,"LCA","St. Lucia","AMC","Caribbean",19.7,22.7,17.3
"167","2017",167,"UZB","Uzbekistan","ASC","Central Asia",17.6,17.4,17.7
"168","2017",168,"GAB","Gabon","AFM","Middle Africa",17.3,13,21.2
"169","2017",169,"SYR","Syrian Arab Republic","ASW","Western Asia",17.1,17.2,17.1
"170","2017",170,"PNG","Papua New Guinea","OPI","Pacific Islands",16.2,15.2,17.1
"171","2017",171,"TKM","Turkmenistan","ASC","Central Asia",15.7,13,18.2
"172","2017",172,"BEN","Benin","AFW","Western Africa",15.1,13.4,16.7
"173","2017",173,"SDN","Sudan","AFN","Northern Africa",14.7,15.7,13.8
"174","2017",174,"LBY","Libya","AFN","Northern Africa",13.7,19.4,8.4
"175","2017",175,"HTI","Haiti","AMC","Caribbean",12.8,13.3,12.4
"176","2017",176,"AIA","Anguilla","AMC","Caribbean",11.1,10.5,11.6
"177","2017",177,"SWZ","Swaziland","AFZ","Southern Africa",6.7,5.5,7.9
"178","2017",178,"MDG","Madagascar","AFE","Eastern Africa",6.2,7.5,4.9
"179","2017",179,"SOM","Somalia","AFE","Eastern Africa",5.7,5.2,6.2
"180","2017",180,"TCD","Chad","AFM","Middle Africa",3.2,1.7,4.6
"181","©2018 Open Data Watch - Licensed under a Creative Commons Attribution 4.0 license",NA,"","","","",NA,NA,NA
"182","Please cite any uses of these data as: Open Data Watch -- Open Data Inventory http://www.opendatawatch.com",NA,"","","","",NA,NA,NA
"183","March 06, 2018 5:39PM",NA,"","","","",NA,NA,NA
